Bin ID,Brand / Model,Diameter,Circumference,Corrugation (in),Bu / Foot,Eave Height,Rings / Type,RingHt,Cone Bu,Body Bu,Bot Cone Bu,Bin Butt Bu,Max Bu,circ chk,bu/ft chk,cone bu chk,eveHt/rings
SR4,Coop,14.5,45.55,"2.66""",133 bu/ft,7.6,3,,300 bu,,0,,,45.55,132.08,-282.21,30.40
SR3,Coop,14.7,46.18,"2.66""",137 bu/ft,8.1,3,,320 bu,,0,,,46.18,135.75,-294.05,32.40
SR2,Stormor,17.9,56.23,"2.66""",203 bu/ft,16,4,,400 bu,,286,,,56.23,201.28,-530.92,48.00
SR7,Butler,17.9,56.23,"2.66""",203 bu/ft,16,6,,400 bu,,286,,,56.23,201.28,-530.92,32.00
SR13,Wheatland,12,37.70,"2.66""",91 bu/ft,14,1,,250 bu,,286,,,37.70,90.46,-159.96,168.00
SR9,Butler,17.8,55.92,"2.66""",201 bu/ft,16,6,,390 bu,,286,,,55.92,199.04,-522.07,32.00
SR8,Butler,17.9,56.23,"2.66""",203 bu/ft,16,6,,400 bu,,286,,,56.23,201.28,-530.92,32.00
SR5,Scafco American,23.9,75.08,"2.66""",362 bu/ft,23.9,9,,900 bu,,0,,9227,75.08,358.83,"-1,263.75",31.87
SR6,Scafco American,23.9,75.08,"2.66""",359 bu/ft,23.6,9,,"1,100 bu",,0,,9200,75.08,358.83,"-1,263.75",31.47
SR18,MFS,30,94.25,"4.0""",565 bu/ft,18,6,,"1,200 bu",,0,,7300,94.25,565.38,"-2,499.37",36.00
SR17,MFS,30,94.25,"4.0""",565 bu/ft,18,6,,"1,200 bu",,0,,15000,94.25,565.38,"-2,499.37",36.00
SR16,MFS,30,94.25,"4.0""",565 bu/ft,18,6,,"1,200 bu",,0,,15000,94.25,565.38,"-2,499.37",36.00
SR15,MFS,30,94.25,"4.0""",565 bu/ft,18,6,,"1,200 bu",,0,,15000,94.25,565.38,"-2,499.37",36.00
703,Butler,23.9,75.08,"2.66""",492 bu/ft,18.67,7,,0 bu,,0,,7300,75.08,358.83,"-1,263.75",32.01
704,Butler,23.9,75.08,"2.66""",492 bu/ft,18.67,7,,0 bu,,0,,7300,75.08,358.83,"-1,263.75",32.01
701,Scafco,23.9,75.08,"2.66""",362 bu/ft,18.33,6,,800 bu,,0,,7100,75.08,358.83,"-1,263.75",36.66
702,Scafco,23.9,75.08,"2.66""",362 bu/ft,18.33,6,,800 bu,,0,,7100,75.08,358.83,"-1,263.75",36.66
706,Butler,23.9,75.08,"2.66""",362 bu/ft,18.67,7,,800 bu,,0,,7300,75.08,358.83,"-1,263.75",32.01
705,Butler,23.9,75.08,"2.66""",362 bu/ft,18.67,7,,800 bu,,0,,7300,75.08,358.83,"-1,263.75",32.01
PKRW,Parker,4.0' x 5.0',18.0',Smooth,16 bu/ft,10,1,,100 bu,,,,100,#VALUE!,#VALUE!,#VALUE!,120
PKRM,Parker,4.0' x 5.0',18.0',Smooth,16 bu/ft,10,1,,200 bu,,,,200,#VALUE!,#VALUE!,#VALUE!,120
PKRE,Parker,4.0' x 5.0',18.0',Smooth,16 bu/ft,10,1,,100 bu,,,,100,#VALUE!,#VALUE!,#VALUE!,120
,,,,,,,,,,,,,,0,0,0,#DIV/0!
